DataCad;Cargo;Cpf;Nome;UfNasc;Salario;Status

15/04/2017;Dev Jr;85235708709;Aaron Aaberg;AP;8965.30;ATIVO

19/04/2017;AC Sr;59984408701;Aaron Aaby;RO;5312.70;ATIVO

03/04/2017;Analista Sr;51704568080;Abbey Aadland;RJ;5448.60;ATIVO

19/04/2017;PO Jr;32439637882;Abbie Aagaard;PR;3655.10;BLOQUEADO

03/04/2017;PO Pl;06994375986;Abby Aakre;MA;7027.30;ATIVO

12/04/2017;PO Sr;00117776300;Abdul Aaland;PE;2058.10;ATIVO

19/04/2017;PO Pl;29413892962;Abe Aalbers;PA;2282.70;ATIVO

24/04/2017;PO Jr;62924550840;Abel Aalderink;MG;5522.20;ATIVO

11/04/2017;AC Pl;27862373278;Abigail Aalund;ES;7880.70;ATIVO

23/04/2017;PO Jr;72376693462;Abraham Aamodt;TO;3833.20;ATIVO

04/04/2017;Dev Pl;07111524977;Abram Aamot;AP;6336.70;ATIVO

16/04/2017;Analista Jr;41851452257;Ada Aanderud;ES;1355.10;ATIVO

10/04/2017;Dev Sr;59876262505;Adah Aanenson;PE;5340.50;ATIVO

26/04/2017;PO Jr;84208743964;Adalberto Aanerud;RJ;6892.80;ATIVO

11/04/2017;AC Jr;44353898868;Adaline Aarant;RS;3086.70;ATIVO

29/04/2017;PO Pl;28319028787;Adam Aardema;AP;4793.60;INATIVO

29/04/2017;AC Sr;10085475815;Adam Aarestad;RJ;9346.50;BLOQUEADO

05/04/2017;Dev Jr;96129441991;Adan Aarhus;RS;789.20;ATIVO

25/04/2017;Dev Pl;71480472930;Addie Aaron;SP;2670.70;ATIVO

06/04/2017;AC Pl;62794566687;Adela Aarons;MA;882.90;ATIVO

04/04/2017;Analista Pl;71256245453;Adelaida Aaronson;AC;5240.70;ATIVO

28/04/2017;Dev Jr;08740471454;Adelaide Aarsvold;AM;133.20;ATIVO

08/04/2017;PO Sr;54465781202;Adele Aas;AL;6007.70;ATIVO

17/04/2017;PO Pl;14511598541;Adelia Aasby;AM;5342.70;ATIVO

27/04/2017;AC Sr;03988991775;Adelina Aase;AP;7048.20;ATIVO

23/04/2017;AC Jr;98585249943;Adeline Aasen;SC;7009.70;ATIVO

21/04/2017;AC Jr;62262675180;Adell Aavang;AC;4309.10;ATIVO

19/04/2017;Analista Sr;72683671040;Adella Abad;TO;3281.60;ATIVO

29/04/2017;PO Sr;29683134602;Adelle Abadi;DF;3978.70;ATIVO

10/04/2017;Dev Sr;94585377972;Adena Abadie;BA;8839.00;ATIVO

16/04/2017;AC Sr;71465092811;Adina Abair;RR;6720.70;ATIVO

19/04/2017;Dev Pl;93776782692;Adolfo Abaja;SP;8031.80;ATIVO

02/04/2017;AC Pl;68557675240;Adolph Abajian;MS;3429.10;ATIVO

25/04/2017;PO Pl;96702330545;Adria Abalos;MA;9382.00;ATIVO

27/04/2017;PO Sr;93561778569;Adrian Abaloz;GO;2428.70;ATIVO

11/04/2017;Analista Pl;98860170400;Adrian Abar;BA;1635.90;ATIVO

